latitude,longitude,confidence,,,
20.744,-88.351,80,,,
20.684,-88.912,65,,,
20.707,-89.18,76,,,
21.942,-99.841,52,,,
20.783,-90.266,95,,,
20.782,-90.256,92,,,
20.594,-89.05,100,,,
21.947,-99.848,52,,,
20.505,-88.828,87,,,
20.658,-90.113,74,,,
20.509,-89.202,100,,,
20.508,-89.192,85,,,
20.572,-89.91,59,,,
20.424,-89.429,89,,,
20.406,-89.432,81,,,
20.364,-89.394,73,,,
20.362,-89.384,76,,,
20.361,-89.436,65,,,
20.359,-89.426,94,,,
20.273,-89.057,63,,,
20.373,-89.996,89,,,
20.372,-89.986,73,,,
20.377,-90.081,88,,,
20.364,-89.994,72,,,
20.156,-89.021,91,,,
20.225,-89.994,62,,,
20.109,-89.369,75,,,
20.138,-89.965,60,,,
20.103,-89.802,65,,,
19.922,-89.522,65,,,
19.996,-90.061,88,,,
19.96,-90.312,83,,,
19.833,-89.726,86,,,
19.604,-88.855,57,,,
19.418,-89.791,77,,,
19.332,-89.528,75,,,
19.15,-88.447,26,,,
19.404,-90.662,100,,,
19.402,-90.652,88,,,
19.401,-90.643,71,,,
19.163,-89.346,70,,,
19.151,-89.312,47,,,
19.334,-90.563,68,,,
19.142,-89.314,50,,,
19.063,-88.812,51,,,
19.526,-92.19,33,,,
19.164,-90.236,59,,,
19.186,-90.438,37,,,
19.394,-92.039,62,,,
18.803,-88.647,63,,,
20.031,-97.983,42,,,
19.888,-97.97,72,,,
19.886,-97.947,84,,,
19.875,-97.972,51,,,
19.754,-97.461,39,,,
19.752,-97.441,72,,,
18.862,-90.922,79,,,
18.651,-90.747,46,,,
18.638,-90.842,47,,,
18.218,-88.277,57,,,
18.216,-88.265,49,,,
18.449,-89.852,100,,,
18.448,-89.842,92,,,
18.636,-91.198,92,,,
18.634,-91.189,31,,,
18.575,-90.91,84,,,
18.361,-89.576,58,,,
18.639,-92.173,60,,,
19.435,-98.828,99,,,
19.432,-98.8,100,,,
19.418,-98.802,73,,,
19.138,-96.273,60,,,
18.32,-91.245,88,,,
17.99,-89.095,34,,,
18.363,-91.601,89,,,
18.14,-90.538,86,,,
18.159,-90.787,74,,,
18.019,-90.349,23,,,
18.017,-90.34,94,,,
18.157,-91.455,62,,,
18.156,-91.446,49,,,
17.996,-90.932,26,,,
17.995,-90.922,82,,,
17.985,-90.914,80,,,
18.058,-91.658,87,,,
18.863,-98.224,29,,,
18.291,-93.486,46,,,
18.864,-98.209,74,,,
18.032,-91.86,50,,,
18.051,-92.116,0,,,
18.028,-91.956,73,,,
18.027,-91.947,74,,,
17.914,-91.305,87,,,
17.912,-91.353,86,,,
17.911,-91.344,94,,,
17.786,-90.517,81,,,
17.785,-90.508,94,,,
17.802,-90.68,62,,,
17.768,-90.517,40,,,
17.773,-90.98,79,,,
17.772,-90.971,54,,,
18.489,-96.384,71,,,
18.068,-93.088,52,,,
18.49,-96.391,71,,,
17.782,-91.224,65,,,
17.757,-91.18,80,,,
17.756,-91.171,86,,,
17.805,-91.688,65,,,
17.797,-91.698,69,,,
17.796,-91.689,82,,,
17.893,-92.493,75,,,
17.836,-92.094,59,,,
17.687,-91.077,73,,,
17.685,-91.068,73,,,
17.675,-91.002,57,,,
17.898,-93.187,70,,,
17.967,-93.766,59,,,
17.844,-93.12,86,,,
17.843,-93.11,66,,,
17.589,-96.683,78,,,
17.581,-96.711,66,,,
17.958,-100.894,28,,,
17.528,-98.943,49,,,
17.542,-99.65,39,,,
17.784,-71.389,25,,,
17.92,-71.397,64,,,
17.919,-71.406,80,,,
18.209,-70.557,29,,,
18.18,-71.249,78,,,
18.565,-71.461,62,,,
18.615,-71.757,77,,,
18.923,-70.351,52,,,
19.181,-71.529,94,,,
48.025,-110.442,69,,,
48.174,-112.025,80,,,
48.166,-112.044,79,,,
48.164,-112.028,93,,,
47.7,-110.908,78,,,
47.69,-110.91,39,,,
42.859,-98.264,67,,,
42.858,-98.269,58,,,
39.12,-122.141,31,,,
32.767,-105.518,47,,,
32.755,-105.522,53,,,
33.422,-110.866,55,,,
33.429,-112.355,48,,,
22.511,-104.63,59,,,
22.507,-104.639,58,,,
19.643,-72.829,88,,,
19.998,-75.776,51,,,
20.007,-76.544,93,,,
20.005,-76.555,75,,,
20.017,-76.546,56,,,
20.015,-76.556,80,,,
20.205,-75.884,53,,,
20.215,-75.886,52,,,
20.328,-75.635,60,,,
20.365,-75.46,83,,,
20.337,-75.636,51,,,
20.184,-76.591,39,,,
20.18,-76.847,29,,,
20.33,-76.382,68,,,
20.45,-76.595,59,,,
20.427,-77.036,70,,,
20.538,-76.86,70,,,
20.548,-76.862,75,,,
20.546,-76.875,71,,,
20.733,-76.99,91,,,
20.73,-77.003,87,,,
20.805,-77.244,56,,,
20.849,-77.169,77,,,
20.846,-77.16,80,,,
20.843,-77.174,29,,,
20.845,-77.23,73,,,
20.842,-77.243,63,,,
20.873,-77.124,57,,,
20.944,-77.983,58,,,
20.973,-78.083,55,,,
21.203,-78.228,85,,,
21.384,-78.117,76,,,
21.57,-77.765,43,,,
21.568,-77.779,93,,,
21.573,-77.772,91,,,
21.571,-77.786,76,,,
21.711,-78.565,50,,,
21.708,-78.569,26,,,
21.852,-78.087,90,,,
21.849,-78.101,99,,,
21.771,-79.647,82,,,
21.767,-79.666,70,,,
21.783,-79.65,71,,,
21.887,-80.092,49,,,
21.896,-80.183,86,,,
21.9,-80.166,77,,,
21.896,-80.191,78,,,
22.136,-81.008,42,,,
22.274,-80.431,59,,,
22.356,-80.828,87,,,
22.301,-81.335,39,,,
22.314,-81.338,29,,,
22.306,-81.341,73,,,
22.634,-79.915,79,,,
22.716,-79.841,81,,,
22.565,-81.184,49,,,
22.871,-82.662,68,,,
24.153,-77.616,43,,,
24.734,-76.207,0,,,
25.491,-76.682,49,,,
26.74,-77.405,75,,,
26.738,-77.417,100,,,
26.736,-77.428,66,,,
30.494,-86.777,55,,,
30.484,-86.817,79,,,
32.154,-81.031,82,,,
32.721,-80.417,75,,,
33.241,-79.756,57,,,
33.306,-79.861,45,,,
33.304,-79.874,72,,,
33.316,-79.863,73,,,
33.314,-79.877,81,,,
33.193,-80.884,54,,,
32.737,-84.494,76,,,
32.732,-84.52,73,,,
32.731,-84.5,82,,,
33.062,-84.591,61,,,
33.076,-84.595,82,,,
33.07,-84.62,63,,,
34.013,-79.821,70,,,
34.016,-79.815,56,,,
33.07,-84.6,81,,,
33.899,-80.711,69,,,
34.122,-79.667,60,,,
34.047,-80.111,63,,,
34.044,-80.125,68,,,
34.132,-79.67,73,,,
33.82,-81.946,43,,,
34.446,-81.336,63,,,
34.415,-81.885,62,,,
33.804,-85.548,62,,,
33.818,-85.553,83,,,
33.812,-85.582,49,,,
35.062,-79.128,78,,,
33.808,-85.557,82,,,
33.822,-85.562,71,,,
35.139,-79.072,53,,,
35.137,-79.084,58,,,
34.726,-84.561,60,,,
34.273,-87.198,75,,,
34.288,-87.204,80,,,
34.268,-87.201,77,,,
34.283,-87.206,81,,,
36.352,-76.806,64,,,
36.351,-76.817,58,,,
36.221,-80.314,64,,,
37.201,-76.599,0,,,
37.03,-77.858,61,,,
17.606,-91.036,73,,,
17.613,-91.025,60,,,
17.695,-90.96,39,,,
17.699,-90.946,54,,,
17.783,-90.521,68,,,
17.656,-91.658,28,,,
17.759,-90.973,68,,,
17.782,-90.88,66,,,
17.78,-90.899,100,,,
17.777,-90.918,80,,,
17.771,-90.974,60,,,
17.792,-90.9,60,,,
17.706,-92.401,64,,,
18.192,-88.627,57,,,
18.012,-90.33,60,,,
18.01,-90.351,96,,,
17.759,-92.532,59,,,
17.909,-91.355,89,,,
17.973,-90.915,58,,,
17.921,-91.356,100,,,
17.919,-91.374,91,,,
17.985,-90.917,51,,,
17.983,-90.936,76,,,
18,-90.899,80,,,
